"DONNEES - Effectifs des médecins"
"ANNEE - 2015"
"SEXE - Ensemble tous sexes confondus"

,AGE,"Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus"
"65 - Hautes-Pyrénées","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"65 - Hautes-Pyrénées","Neurologie",9,0,1,0,0,0,1,3,3,1,0
"65 - Hautes-Pyrénées","O.R.L et chirurgie cervico faciale",11,0,0,0,0,1,1,2,2,3,2
"65 - Hautes-Pyrénées","Oncologie option médicale",2,0,0,0,0,0,0,2,0,0,0
"65 - Hautes-Pyrénées","Ophtalmologie",17,0,2,2,0,2,2,4,3,2,0
"65 - Hautes-Pyrénées","Pédiatrie",20,0,1,0,4,3,3,0,7,2,0
"65 - Hautes-Pyrénées","Pneumologie",11,0,1,2,0,0,2,2,3,1,0
"65 - Hautes-Pyrénées","Psychiatrie",39,0,0,1,5,5,7,7,9,4,1
"65 - Hautes-Pyrénées","Radio-diagnostic et imagerie médicale",26,0,0,1,2,5,3,6,4,4,1
"65 - Hautes-Pyrénées","Radio-thérapie",3,0,0,0,0,1,0,2,0,0,0
"65 - Hautes-Pyrénées","Réanimation médicale",0,0,0,0,0,0,0,0,0,0,0
"65 - Hautes-Pyrénées","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"65 - Hautes-Pyrénées","Rhumatologie",10,0,0,0,0,1,2,2,4,1,0
"65 - Hautes-Pyrénées","Santé publique et médecine sociale",5,0,0,0,0,0,0,2,2,1,0
"65 - Hautes-Pyrénées","Généralistes",448,5,27,43,37,43,72,81,91,38,11
"65 - Hautes-Pyrénées","Médecine générale",448,5,27,43,37,43,72,81,91,38,11
"66 - Pyrénées-Orientales","Ensemble des spécialités d'exercice",1620,7,79,133,181,208,230,362,278,123,19
"66 - Pyrénées-Orientales","Spécialistes",769,1,42,77,96,103,89,171,119,63,8
"66 - Pyrénées-Orientales","Anatomie et cytologie pathologiques",9,0,0,2,2,3,1,1,0,0,0
"66 - Pyrénées-Orientales","Anesthésie-réanimation",74,0,6,4,13,7,5,16,17,6,0
"66 - Pyrénées-Orientales","Biologie médicale",14,0,1,1,2,5,2,1,1,1,0
"66 - Pyrénées-Orientales","Cardiologie et maladies vasculaires",49,0,1,2,6,3,9,14,8,4,2
"66 - Pyrénées-Orientales","Chirurgie générale",14,0,1,2,0,2,0,3,3,3,0
"66 - Pyrénées-Orientales","Chirurgie maxillo-faciale et stomatologie",15,0,1,1,2,2,0,6,2,1,0
"66 - Pyrénées-Orientales","Chirurgie orthopédique et traumatologie",24,0,1,4,3,6,4,2,4,0,0
"66 - Pyrénées-Orientales","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"66 - Pyrénées-Orientales","Chirurgie plastique reconstructrice et esthétique",6,0,0,0,2,1,0,2,0,1,0
"66 - Pyrénées-Orientales","Chirurgie thoracique et cardio-vasculaire",4,0,0,0,2,2,0,0,0,0,0
"66 - Pyrénées-Orientales","Chirurgie urologique",11,0,0,5,1,1,3,1,0,0,0
"66 - Pyrénées-Orientales","Chirurgie vasculaire",3,0,0,0,0,1,0,0,2,0,0
"66 - Pyrénées-Orientales","Chirurgie viscérale et digestive",9,0,0,1,2,3,2,0,0,1,0
"66 - Pyrénées-Orientales","Dermatologie et vénéréologie",18,0,2,1,1,2,2,4,2,2,2
"66 - Pyrénées-Orientales","Endocrinologie et métabolisme",10,0,1,0,1,2,1,5,0,0,0
"66 - Pyrénées-Orientales","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"66 - Pyrénées-Orientales","Gériatrie",10,0,1,0,1,2,2,2,1,1,0
"66 - Pyrénées-Orientales","Gynécologie médicale",17,0,1,0,0,0,0,5,9,2,0
"66 - Pyrénées-Orientales","Gynécologie-obstétrique",23,0,0,5,5,3,4,4,2,0,0
"66 - Pyrénées-Orientales","Hématologie",5,0,1,2,0,2,0,0,0,0,0
"66 - Pyrénées-Orientales","Gastro-entérologie et hépatologie",22,0,2,1,2,7,0,4,2,4,0
"66 - Pyrénées-Orientales","Médecine du travail",28,0,0,0,2,1,3,11,10,1,0
"66 - Pyrénées-Orientales","Médecine interne",13,0,1,1,3,3,3,1,0,1,0
"66 - Pyrénées-Orientales","Médecine nucléaire",3,0,0,1,0,1,0,1,0,0,0
"66 - Pyrénées-Orientales","Médecine physique et réadaptation",22,0,0,3,1,2,0,9,3,4,0
"66 - Pyrénées-Orientales","Néphrologie",13,0,2,2,3,1,1,1,1,1,1
"66 - Pyrénées-Orientales","Neuro-chirurgie",4,0,0,0,1,0,2,1,0,0,0
"66 - Pyrénées-Orientales","Neurologie",11,0,2,3,1,3,0,1,1,0,0
"66 - Pyrénées-Orientales","O.R.L et chirurgie cervico faciale",24,0,3,1,3,2,2,7,3,3,0
"66 - Pyrénées-Orientales","Oncologie option médicale",3,0,0,0,0,2,1,0,0,0,0
"66 - Pyrénées-Orientales","Ophtalmologie",45,0,1,3,4,3,7,12,10,5,0
"66 - Pyrénées-Orientales","Pédiatrie",42,0,1,9,6,4,5,7,6,3,1
"66 - Pyrénées-Orientales","Pneumologie",31,0,2,1,5,2,4,10,7,0,0
"66 - Pyrénées-Orientales","Psychiatrie",97,1,5,8,6,9,17,23,16,10,2
"66 - Pyrénées-Orientales","Radio-diagnostic et imagerie médicale",67,0,4,8,14,9,6,13,6,7,0
"66 - Pyrénées-Orientales","Radio-thérapie",5,0,1,2,1,1,0,0,0,0,0
"66 - Pyrénées-Orientales","Réanimation médicale",4,0,0,2,1,0,0,1,0,0,0
"66 - Pyrénées-Orientales","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"66 - Pyrénées-Orientales","Rhumatologie",16,0,0,1,0,4,3,3,3,2,0
"66 - Pyrénées-Orientales","Santé publique et médecine sociale",4,0,1,1,0,2,0,0,0,0,0
"66 - Pyrénées-Orientales","Généralistes",851,6,37,56,85,105,141,191,159,60,11
"66 - Pyrénées-Orientales","Médecine générale",851,6,37,56,85,105,141,191,159,60,11
"67 - Bas-Rhin","Ensemble des spécialités d'exercice",4398,76,454,425,408,503,625,830,693,305,79
"67 - Bas-Rhin","Spécialistes",2506,36,291,264,244,293,299,459,384,189,47
"67 - Bas-Rhin","Anatomie et cytologie pathologiques",24,0,2,1,5,1,4,5,5,1,0
"67 - Bas-Rhin","Anesthésie-réanimation",273,7,38,33,33,24,34,42,48,13,1
"67 - Bas-Rhin","Biologie médicale",55,0,5,5,6,15,11,9,4,0,0
"67 - Bas-Rhin","Cardiologie et maladies vasculaires",144,3,15,19,11,24,12,22,21,14,3
"67 - Bas-Rhin","Chirurgie générale",95,3,30,8,9,5,2,17,9,10,2
"67 - Bas-Rhin","Chirurgie maxillo-faciale et stomatologie",12,0,0,1,2,1,0,5,1,2,0
"67 - Bas-Rhin","Chirurgie orthopédique et traumatologie",64,0,6,11,7,7,15,7,8,2,1
"67 - Bas-Rhin","Chirurgie infantile",6,0,0,1,1,1,1,2,0,0,0
"67 - Bas-Rhin","Chirurgie plastique reconstructrice et esthétique",16,0,0,4,3,2,3,4,0,0,0
"67 - Bas-Rhin","Chirurgie thoracique et cardio-vasculaire",14,0,0,5,0,2,4,2,1,0,0
"67 - Bas-Rhin","Chirurgie urologique",16,0,0,2,2,3,3,4,1,0,1
"67 - Bas-Rhin","Chirurgie vasculaire",4,0,0,2,1,0,0,0,1,0,0
"67 - Bas-Rhin","Chirurgie viscérale et digestive",22,0,1,4,4,5,4,4,0,0,0
"67 - Bas-Rhin","Dermatologie et vénéréologie",80,3,4,6,7,10,11,15,16,6,2
"67 - Bas-Rhin","Endocrinologie et métabolisme",27,0,5,2,2,1,11,2,3,1,0
"67 - Bas-Rhin","Génétique médicale",10,0,4,0,0,0,3,1,0,1,1
"67 - Bas-Rhin","Gériatrie",37,0,1,1,7,9,6,7,5,1,0
"67 - Bas-Rhin","Gynécologie médicale",34,0,1,0,0,1,0,21,8,2,1
"67 - Bas-Rhin","Gynécologie-obstétrique",132,2,14,10,15,12,18,28,20,13,0
"67 - Bas-Rhin","Hématologie",7,0,2,1,2,1,1,0,0,0,0
"67 - Bas-Rhin","Gastro-entérologie et hépatologie",72,1,8,3,7,7,10,21,8,6,1
"67 - Bas-Rhin","Médecine du travail",135,0,8,11,9,22,15,32,25,13,0
"67 - Bas-Rhin","Médecine interne",79,0,8,9,8,10,10,10,16,5,3
"67 - Bas-Rhin","Médecine nucléaire",14,1,2,4,1,2,1,2,0,1,0
"67 - Bas-Rhin","Médecine physique et réadaptation",44,0,5,5,4,3,4,10,8,4,1
"67 - Bas-Rhin","Néphrologie",38,2,10,6,6,2,5,4,3,0,0
"67 - Bas-Rhin","Neuro-chirurgie",14,0,1,6,4,2,1,0,0,0,0
"67 - Bas-Rhin","Neurologie",61,3,13,11,9,7,7,6,3,2,0
"67 - Bas-Rhin","O.R.L et chirurgie cervico faciale",55,0,4,5,2,6,3,10,15,9,1
"67 - Bas-Rhin","Oncologie option médicale",18,0,2,1,1,4,2,2,3,2,1
"67 - Bas-Rhin","Ophtalmologie",110,0,6,9,8,13,4,29,26,11,4
"67 - Bas-Rhin","Pédiatrie",158,3,20,13,20,15,19,29,26,11,2
"67 - Bas-Rhin","Pneumologie",51,1,4,5,5,7,4,17,4,3,1
"67 - Bas-Rhin","Psychiatrie",280,5,38,25,18,33,33,34,51,28,15
"67 - Bas-Rhin","Radio-diagnostic et imagerie médicale",193,1,17,25,18,17,22,37,29,21,6
"67 - Bas-Rhin","Radio-thérapie",19,0,6,1,0,4,1,3,2,2,0
"67 - Bas-Rhin","Réanimation médicale",12,0,0,3,1,4,1,3,0,0,0
"67 - Bas-Rhin","Recherche médicale",1,0,0,0,0,0,1,0,0,0,0
"67 - Bas-Rhin","Rhumatologie",48,1,6,5,3,6,5,8,12,2,0
"67 - Bas-Rhin","Santé publique et médecine sociale",32,0,5,1,3,5,8,5,2,3,0
"67 - Bas-Rhin","Généralistes",1892,40,163,161,164,210,326,371,309,116,32
"67 - Bas-Rhin","Médecine générale",1892,40,163,161,164,210,326,371,309,116,32
"68 - Haut-Rhin","Ensemble des spécialités d'exercice",2271,27,166,198,226,244,358,490,407,121,34
"68 - Haut-Rhin","Spécialistes",1198,14,89,117,117,134,162,260,218,66,21
"68 - Haut-Rhin","Anatomie et cytologie pathologiques",13,0,0,1,1,2,1,2,6,0,0
"68 - Haut-Rhin","Anesthésie-réanimation",99,1,5,12,5,10,15,25,20,5,1
"68 - Haut-Rhin","Biologie médicale",17,0,3,1,2,2,3,4,2,0,0
"68 - Haut-Rhin","Cardiologie et maladies vasculaires",82,1,8,8,10,12,11,16,9,6,1
"68 - Haut-Rhin","Chirurgie générale",38,1,8,6,4,4,2,3,7,3,0
"68 - Haut-Rhin","Chirurgie maxillo-faciale et stomatologie",3,0,0,0,1,0,0,0,2,0,0
"68 - Haut-Rhin","Chirurgie orthopédique et traumatologie",32,0,6,3,5,7,4,3,2,1,1
"68 - Haut-Rhin","Chirurgie infantile",6,0,0,1,0,2,1,1,0,1,0
"68 - Haut-Rhin","Chirurgie plastique reconstructrice et esthétique",5,0,0,1,0,0,2,1,0,1,0
"68 - Haut-Rhin","Chirurgie thoracique et cardio-vasculaire",3,0,0,0,1,0,2,0,0,0,0
"68 - Haut-Rhin","Chirurgie urologique",11,0,0,1,3,3,2,0,2,0,0
"68 - Haut-Rhin","Chirurgie vasculaire",9,0,0,0,0,1,0,4,3,1,0
"68 - Haut-Rhin","Chirurgie viscérale et digestive",8,0,0,2,1,3,1,0,1,0,0
"68 - Haut-Rhin","Dermatologie et vénéréologie",42,1,4,1,2,5,4,11,9,4,1
"68 - Haut-Rhin","Endocrinologie et métabolisme",19,0,4,1,1,2,3,3,4,1,0
"68 - Haut-Rhin","Génétique médicale",3,0,0,0,1,0,2,0,0,0,0
"68 - Haut-Rhin","Gériatrie",25,1,1,3,2,4,6,5,2,0,1
"68 - Haut-Rhin","Gynécologie médicale",16,0,0,0,0,0,1,11,3,1,0
"68 - Haut-Rhin","Gynécologie-obstétrique",69,0,7,4,6,7,8,17,11,5,4
"68 - Haut-Rhin","Hématologie",1,0,0,1,0,0,0,0,0,0,0
"68 - Haut-Rhin","Gastro-entérologie et hépatologie",35,1,2,1,3,6,4,7,7,4,0
"68 - Haut-Rhin","Médecine du travail",75,0,2,3,7,4,5,24,23,5,2
"68 - Haut-Rhin","Médecine interne",28,0,1,5,2,4,6,4,5,1,0
"68 - Haut-Rhin","Médecine nucléaire",4,0,0,0,1,1,1,1,0,0,0
"68 - Haut-Rhin","Médecine physique et réadaptation",40,0,0,6,3,4,1,10,11,5,0
"68 - Haut-Rhin","Néphrologie",19,1,1,3,2,4,4,1,2,1,0
"68 - Haut-Rhin","Neuro-chirurgie",9,0,0,1,3,1,0,3,0,0,1
"68 - Haut-Rhin","Neurologie",26,0,0,2,3,3,6,6,6,0,0
"68 - Haut-Rhin","O.R.L et chirurgie cervico faciale",31,0,4,2,4,2,5,9,3,2,0
"68 - Haut-Rhin","Oncologie option médicale",4,0,0,1,0,0,0,2,1,0,0
"68 - Haut-Rhin","Ophtalmologie",58,1,7,6,5,3,4,18,10,3,1
"68 - Haut-Rhin","Pédiatrie",71,3,4,11,8,9,5,15,13,1,2
"68 - Haut-Rhin","Pneumologie",33,0,4,2,3,5,7,6,4,1,1
"68 - Haut-Rhin","Psychiatrie",126,1,11,11,16,12,18,22,27,5,3
"68 - Haut-Rhin","Radio-diagnostic et imagerie médicale",96,0,3,9,6,9,21,17,21,8,2
"68 - Haut-Rhin","Radio-thérapie",9,0,2,1,3,0,1,1,1,0,0
"68 - Haut-Rhin","Réanimation médicale",5,0,0,0,1,1,2,1,0,0,0
"68 - Haut-Rhin","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"68 - Haut-Rhin","Rhumatologie",17,2,0,4,2,2,4,3,0,0,0
"68 - Haut-Rhin","Santé publique et médecine sociale",11,0,2,3,0,0,0,4,1,1,0
"68 - Haut-Rhin","Généralistes",1073,13,77,81,109,110,196,230,189,55,13
"68 - Haut-Rhin","Médecine générale",1073,13,77,81,109,110,196,230,189,55,13
"69 - Rhône","Ensemble des spécialités d'exercice",7914,173,891,856,738,866,1154,1390,1206,464,176
"69 - Rhône","Spécialistes",4753,94,587,565,472,534,593,801,715,284,108
"69 - Rhône","Anatomie et cytologie pathologiques",78,2,7,8,8,10,6,15,16,4,2
"69 - Rhône","Anesthésie-réanimation",519,5,88,67,55,50,53,84,82,27,8
"69 - Rhône","Biologie médicale",103,3,8,10,12,17,28,15,6,4,0
"69 - Rhône","Cardiologie et maladies vasculaires",225,10,24,28,22,30,27,35,26,15,8
"69 - Rhône","Chirurgie générale",154,8,51,10,10,9,6,22,20,15,3
"69 - Rhône","Chirurgie maxillo-faciale et stomatologie",58,0,5,2,2,5,1,24,15,4,0
"69 - Rhône","Chirurgie orthopédique et traumatologie",128,0,21,14,23,17,23,17,11,1,1
"69 - Rhône","Chirurgie infantile",17,0,1,1,2,5,4,2,0,1,1
"69 - Rhône","Chirurgie plastique reconstructrice et esthétique",47,0,5,7,11,5,6,8,3,1,1
"69 - Rhône","Chirurgie thoracique et cardio-vasculaire",16,0,1,5,3,2,4,0,1,0,0
"69 - Rhône","Chirurgie urologique",45,0,3,9,8,12,9,3,1,0,0
"69 - Rhône","Chirurgie vasculaire",24,0,2,4,1,4,3,7,3,0,0
"69 - Rhône","Chirurgie viscérale et digestive",25,0,1,5,5,6,5,3,0,0,0
"69 - Rhône","Dermatologie et vénéréologie",145,2,12,15,11,14,18,33,28,12,0
"69 - Rhône","Endocrinologie et métabolisme",77,2,12,9,11,8,11,13,6,4,1
"69 - Rhône","Génétique médicale",17,0,1,1,2,4,4,1,2,2,0
"69 - Rhône","Gériatrie",62,0,2,7,5,10,15,10,10,3,0
"69 - Rhône","Gynécologie médicale",120,2,1,1,0,0,2,52,41,14,7
"69 - Rhône","Gynécologie-obstétrique",178,3,27,39,25,22,21,21,16,3,1
"69 - Rhône","Hématologie",25,1,4,6,5,6,2,0,1,0,0
"69 - Rhône","Gastro-entérologie et hépatologie",123,6,24,13,15,16,19,15,10,3,2
"69 - Rhône","Médecine du travail",232,2,9,13,21,25,27,52,62,17,4
"69 - Rhône","Médecine interne",82,2,11,7,10,7,11,8,14,7,5
"69 - Rhône","Médecine nucléaire",27,1,1,7,4,0,5,1,4,3,1
"69 - Rhône","Médecine physique et réadaptation",72,1,6,6,4,9,11,15,11,9,0
"69 - Rhône","Néphrologie",62,3,10,7,9,8,7,10,6,2,0
"69 - Rhône","Neuro-chirurgie",27,0,2,5,3,7,2,5,0,2,1
"69 - Rhône","Neurologie",108,3,14,19,12,18,14,14,11,2,1
"69 - Rhône","O.R.L et chirurgie cervico faciale",98,1,7,10,8,12,10,17,19,11,3
"69 - Rhône","Oncologie option médicale",45,1,13,6,3,6,8,5,3,0,0
"69 - Rhône","Ophtalmologie",214,2,14,17,15,15,24,51,48,15,13
"69 - Rhône","Pédiatrie",314,9,46,53,31,40,38,43,31,14,9
"69 - Rhône","Pneumologie",88,0,17,7,10,13,13,9,12,7,0
"69 - Rhône","Psychiatrie",668,18,72,82,56,60,76,97,120,57,30
"69 - Rhône","Radio-diagnostic et imagerie médicale",313,2,42,46,35,35,51,54,34,12,2
"69 - Rhône","Radio-thérapie",37,0,7,4,4,9,0,5,5,2,1
"69 - Rhône","Réanimation médicale",3,0,0,1,0,1,0,0,1,0,0
"69 - Rhône","Recherche médicale",2,0,0,0,0,0,2,0,0,0,0
"69 - Rhône","Rhumatologie",99,5,5,8,6,7,15,23,21,7,2
"69 - Rhône","Santé publique et médecine sociale",76,0,11,6,5,10,12,12,15,4,1
"69 - Rhône","Généralistes",3161,79,304,291,266,332,561,589,491,180,68
"69 - Rhône","Médecine générale",3161,79,304,291,266,332,561,589,491,180,68
"70 - Haute-Saône","Ensemble des spécialités d'exercice",563,10,37,38,49,67,79,97,123,56,7
"70 - Haute-Saône","Spécialistes",214,1,12,21,20,22,24,32,60,20,2
"70 - Haute-Saône","Anatomie et cytologie pathologiques",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Anesthésie-réanimation",19,0,2,1,1,1,2,5,6,1,0
"70 - Haute-Saône","Biologie médicale",4,0,0,2,1,1,0,0,0,0,0
"70 - Haute-Saône","Cardiologie et maladies vasculaires",9,0,0,1,3,0,2,0,3,0,0
"70 - Haute-Saône","Chirurgie générale",4,0,0,0,0,1,0,1,1,0,1
"70 - Haute-Saône","Chirurgie maxillo-faciale et stomatologie",1,0,0,0,0,0,0,0,1,0,0
"70 - Haute-Saône","Chirurgie orthopédique et traumatologie",3,0,0,0,0,1,1,1,0,0,0
"70 - Haute-Saône","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Chirurgie plastique reconstructrice et esthétique",1,0,0,0,0,0,1,0,0,0,0
"70 - Haute-Saône","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Chirurgie urologique",4,0,1,2,0,0,0,1,0,0,0
"70 - Haute-Saône","Chirurgie vasculaire",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Chirurgie viscérale et digestive",3,0,0,1,0,0,2,0,0,0,0
"70 - Haute-Saône","Dermatologie et vénéréologie",8,0,0,0,0,0,3,1,3,1,0
"70 - Haute-Saône","Endocrinologie et métabolisme",3,0,1,0,1,1,0,0,0,0,0
"70 - Haute-Saône","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Gériatrie",6,0,0,0,2,2,0,2,0,0,0
"70 - Haute-Saône","Gynécologie médicale",7,0,0,1,0,0,0,3,3,0,0
"70 - Haute-Saône","Gynécologie-obstétrique",6,0,0,1,0,1,0,2,2,0,0
"70 - Haute-Saône","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Gastro-entérologie et hépatologie",7,0,0,1,0,1,0,0,3,2,0
"70 - Haute-Saône","Médecine du travail",13,0,0,1,0,2,1,2,7,0,0
"70 - Haute-Saône","Médecine interne",3,0,0,1,0,0,0,0,1,1,0
"70 - Haute-Saône","Médecine nucléaire",1,0,0,0,1,0,0,0,0,0,0
"70 - Haute-Saône","Médecine physique et réadaptation",10,0,1,1,1,1,0,1,4,1,0
"70 - Haute-Saône","Néphrologie",3,0,0,0,0,1,2,0,0,0,0
"70 - Haute-Saône","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Neurologie",4,0,0,1,1,0,0,1,0,1,0
"70 - Haute-Saône","O.R.L et chirurgie cervico faciale",5,0,0,0,0,1,2,0,0,2,0
"70 - Haute-Saône","Oncologie option médicale",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Ophtalmologie",11,1,0,1,0,0,0,1,4,4,0
"70 - Haute-Saône","Pédiatrie",12,0,0,0,0,1,2,3,3,3,0
"70 - Haute-Saône","Pneumologie",4,0,0,1,0,1,1,0,1,0,0
"70 - Haute-Saône","Psychiatrie",40,0,4,3,9,2,5,5,8,3,1
"70 - Haute-Saône","Radio-diagnostic et imagerie médicale",14,0,0,2,0,2,0,2,7,1,0
"70 - Haute-Saône","Radio-thérapie",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Réanimation médicale",2,0,1,0,0,0,0,1,0,0,0
"70 - Haute-Saône","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"70 - Haute-Saône","Rhumatologie",4,0,0,0,0,2,0,0,2,0,0
"70 - Haute-Saône","Santé publique et médecine sociale",3,0,2,0,0,0,0,0,1,0,0
"70 - Haute-Saône","Généralistes",349,9,25,17,29,45,55,65,63,36,5
"70 - Haute-Saône","Médecine générale",349,9,25,17,29,45,55,65,63,36,5
"71 - Saône-et-Loire","Ensemble des spécialités d'exercice",1433,19,106,123,119,151,232,259,292,113,19
"71 - Saône-et-Loire","Spécialistes",709,10,56,63,54,74,114,128,135,65,10
"71 - Saône-et-Loire","Anatomie et cytologie pathologiques",4,0,0,1,0,2,0,1,0,0,0
"71 - Saône-et-Loire","Anesthésie-réanimation",73,1,5,13,3,8,8,14,14,6,1
"71 - Saône-et-Loire","Biologie médicale",16,0,0,1,3,3,7,2,0,0,0
"71 - Saône-et-Loire","Cardiologie et maladies vasculaires",43,1,6,3,3,3,8,6,7,5,1
"71 - Saône-et-Loire","Chirurgie générale",13,0,2,3,0,0,2,2,2,2,0
"71 - Saône-et-Loire","Chirurgie maxillo-faciale et stomatologie",6,0,0,0,0,0,0,6,0,0,0
"71 - Saône-et-Loire","Chirurgie orthopédique et traumatologie",34,0,1,1,2,5,11,5,7,1,1
"71 - Saône-et-Loire","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"71 - Saône-et-Loire","Chirurgie plastique reconstructrice et esthétique",5,0,0,1,0,2,0,1,1,0,0
"71 - Saône-et-Loire","Chirurgie thoracique et cardio-vasculaire",4,0,0,0,0,0,3,1,0,0,0
"71 - Saône-et-Loire","Chirurgie urologique",10,0,1,2,1,1,2,2,0,1,0
"71 - Saône-et-Loire","Chirurgie vasculaire",3,0,0,0,0,0,0,1,1,0,1
"71 - Saône-et-Loire","Chirurgie viscérale et digestive",12,0,0,0,1,3,2,4,1,1,0
"71 - Saône-et-Loire","Dermatologie et vénéréologie",18,0,2,1,0,1,4,3,6,1,0
"71 - Saône-et-Loire","Endocrinologie et métabolisme",11,0,2,2,2,0,3,2,0,0,0
"71 - Saône-et-Loire","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"71 - Saône-et-Loire","Gériatrie",15,0,0,0,3,4,4,2,2,0,0
"71 - Saône-et-Loire","Gynécologie médicale",17,0,0,0,0,0,0,9,3,5,0
"71 - Saône-et-Loire","Gynécologie-obstétrique",29,1,1,4,5,7,5,3,3,0,0
"71 - Saône-et-Loire","Hématologie",2,0,1,0,0,0,1,0,0,0,0
"71 - Saône-et-Loire","Gastro-entérologie et hépatologie",25,0,3,3,1,3,6,3,4,2,0
"71 - Saône-et-Loire","Médecine du travail",43,0,2,1,2,5,5,7,16,5,0
"71 - Saône-et-Loire","Médecine interne",12,0,0,2,0,1,1,2,4,2,0
"71 - Saône-et-Loire","Médecine nucléaire",6,0,0,3,1,0,1,0,1,0,0
"71 - Saône-et-Loire","Médecine physique et réadaptation",10,0,1,2,0,2,1,3,1,0,0
"71 - Saône-et-Loire","Néphrologie",12,1,1,1,1,0,4,2,1,1,0
"71 - Saône-et-Loire","Neuro-chirurgie",2,0,0,0,0,1,0,1,0,0,0
"71 - Saône-et-Loire","Neurologie",19,2,4,1,1,3,3,3,2,0,0
"71 - Saône-et-Loire","O.R.L et chirurgie cervico faciale",15,0,1,0,0,1,1,4,6,2,0
"71 - Saône-et-Loire","Oncologie option médicale",9,0,2,2,1,0,0,2,1,1,0
"71 - Saône-et-Loire","Ophtalmologie",31,0,2,3,1,2,2,6,8,7,0
"71 - Saône-et-Loire","Pédiatrie",38,2,5,1,7,5,3,6,6,3,0
"71 - Saône-et-Loire","Pneumologie",28,1,2,4,4,2,4,4,6,1,0
"71 - Saône-et-Loire","Psychiatrie",77,1,7,2,9,3,14,9,20,9,3
"71 - Saône-et-Loire","Radio-diagnostic et imagerie médicale",47,0,4,5,1,6,5,8,8,8,2
"71 - Saône-et-Loire","Radio-thérapie",1,0,0,0,0,0,1,0,0,0,0
"71 - Saône-et-Loire","Réanimation médicale",2,0,1,0,1,0,0,0,0,0,0
"71 - Saône-et-Loire","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"71 - Saône-et-Loire","Rhumatologie",13,0,0,1,1,0,3,4,3,1,0
"71 - Saône-et-Loire","Santé publique et médecine sociale",4,0,0,0,0,1,0,0,1,1,1
"71 - Saône-et-Loire","Généralistes",724,9,50,60,65,77,118,131,157,48,9
"71 - Saône-et-Loire","Médecine générale",724,9,50,60,65,77,118,131,157,48,9
"72 - Sarthe","Ensemble des spécialités d'exercice",1372,15,100,99,119,133,178,289,283,130,26
"72 - Sarthe","Spécialistes",669,8,62,53,61,71,87,133,122,57,15
"72 - Sarthe","Anatomie et cytologie pathologiques",9,0,1,0,2,1,3,0,1,1,0
"72 - Sarthe","Anesthésie-réanimation",68,0,7,9,6,7,7,14,9,6,3
"72 - Sarthe","Biologie médicale",17,2,1,3,1,2,6,1,1,0,0
"72 - Sarthe","Cardiologie et maladies vasculaires",31,0,3,3,1,2,7,8,7,0,0
"72 - Sarthe","Chirurgie générale",23,0,0,2,0,2,1,6,6,5,1
"72 - Sarthe","Chirurgie maxillo-faciale et stomatologie",10,0,0,0,0,4,1,2,2,1,0
"72 - Sarthe","Chirurgie orthopédique et traumatologie",26,0,4,2,2,2,5,10,1,0,0
"72 - Sarthe","Chirurgie infantile",2,0,0,0,1,0,0,0,1,0,0
"72 - Sarthe","Chirurgie plastique reconstructrice et esthétique",5,0,2,0,0,0,1,1,1,0,0
"72 - Sarthe","Chirurgie thoracique et cardio-vasculaire",2,0,1,0,0,0,0,1,0,0,0
"72 - Sarthe","Chirurgie urologique",10,0,1,2,0,4,2,0,1,0,0
"72 - Sarthe","Chirurgie vasculaire",9,0,3,1,1,1,0,1,1,1,0
"72 - Sarthe","Chirurgie viscérale et digestive",10,0,0,2,2,0,5,1,0,0,0
"72 - Sarthe","Dermatologie et vénéréologie",19,1,0,1,1,4,1,5,5,1,0
"72 - Sarthe","Endocrinologie et métabolisme",8,0,2,0,1,0,0,3,2,0,0
"72 - Sarthe","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
